 Sample   Time     Commanded 2 Pos  Encoder 4 Pos   Control Effort 2

[    0    0.000               0             148          0.1007;
     1    0.044            2000             148         -1.2668;
     2    0.089            2000             170         -1.2445;
     3    0.133            2000             223         -1.2027;
     4    0.177            2000             301         -1.1450;
     5    0.221            2000             386         -1.0876;
     6    0.266            2000             457         -1.0430;
     7    0.310            2000             499         -1.0211;
     8    0.354            2000             513         -1.0153;
     9    0.398            2000             516         -1.0150;
    10    0.443            2000             527         -1.0031;
    11    0.487            2000             560         -0.9759;
    12    0.531            2000             616         -0.9353;
    13    0.576            2000             683         -0.8874;
    14    0.620            2000             746         -0.8468;
    15    0.664            2000             789         -0.8214;
    16    0.708            2000             809         -0.8123;
    17    0.753            2000             816         -0.8095;
    18    0.797            2000             824         -0.8016;
    19    0.841            2000             845         -0.7842;
    20    0.885            2000             883         -0.7558;
    21    0.930            2000             932         -0.7192;
    22    0.974            2000             983         -0.6868;
    23    1.018            2000            1022         -0.6624;
    24    1.063            2000            1045         -0.6502;
    25    1.107            2000            1058         -0.6429;
    26    1.151            2000            1068         -0.6346;
    27    1.195            2000            1084         -0.6215;
    28    1.240            2000            1110         -0.6029;
    29    1.284            2000            1144         -0.5784;
    30    1.328            2000            1180         -0.5537;
    31    1.372            2000            1211         -0.5354;
    32    1.417            2000            1233         -0.5211;
    33    1.461            2000            1249         -0.5113;
    34    1.505            2000            1264         -0.5003;
    35    1.549            2000            1281         -0.4887;
    36    1.594            2000            1302         -0.4741;
    37    1.638            2000            1325         -0.4573;
    38    1.682            2000            1347         -0.4417;
    39    1.727            2000            1367         -0.4292;
    40    1.771            2000            1384         -0.4176;
    41    1.815            2000            1403         -0.4045;
    42    1.859            2000            1421         -0.3932;
    43    1.904            2000            1438         -0.3825;
    44    1.948            2000            1454         -0.3706;
    45    1.992            2000            1471         -0.3587;
    46    2.036            2000            1485         -0.3495;
    47    2.081            2000            1500         -0.3388;
    48    2.125            2000            1514         -0.3291;
    49    2.169            2000            1529         -0.3199;
    50    2.214            2000            1542         -0.3114;
    51    2.258            2000            1554         -0.3019;
    52    2.302            2000            1567         -0.2924;
    53    2.346            2000            1580         -0.2851;
    54    2.391            2000            1592         -0.2766;
    55    2.435            2000            1602         -0.2692;
    56    2.479            2000            1614         -0.2625;
    57    2.523            2000            1625         -0.2546;
    58    2.568            2000            1635         -0.2469;
    59    2.612            2000            1645         -0.2418;
    60    2.656            2000            1655         -0.2332;
    61    2.701            2000            1665         -0.2277;
    62    2.745            2000            1674         -0.2219;
    63    2.789            2000            1682         -0.2152;
    64    2.833            2000            1691         -0.2091;
    65    2.878            2000            1700         -0.2042;
    66    2.922            2000            1708         -0.1987;
    67    2.966            2000            1715         -0.1929;
    68    3.010            2000            1723         -0.1874;
    69    3.055            2000            1731         -0.1822;
    70    3.099            2000            1738         -0.1783;
    71    3.143            2000            1744         -0.1740;
    72    3.188            2000            1751         -0.1682;
    73    3.232            2000            1758         -0.1630;
    74    3.276            2000            1764         -0.1603;
    75    3.320            2000            1770         -0.1554;
    76    3.365            2000            1777         -0.1517;
    77    3.409            2000            1783         -0.1471;
    78    3.453            2000            1788         -0.1441;
    79    3.497            2000            1793         -0.1404;
    80    3.542            2000            1799         -0.1358;
    81    3.586            2000            1804         -0.1331;
    82    3.630            2000            1809         -0.1300;
    83    3.674            2000            1813         -0.1270;
    84    3.719            2000            1818         -0.1230;
    85    3.763            2000            1823         -0.1203;
    86    3.807            2000            1827         -0.1175;
    87    3.852            2000            1831         -0.1151;
    88    3.896            2000            1835         -0.1117;
    89    3.940            2000            1839         -0.1090;
    90    3.984            2000            1842         -0.1071;
    91    4.029            2000            1845         -0.1053;
    92    4.073            2000            1849         -0.1023;
    93    4.117            2000            1853         -0.1004;
    94    4.161            2000            1855         -0.0983;
    95    4.206            2000            1858         -0.0962;
    96    4.250            2000            1862         -0.0943;
    97    4.294            2000            1864         -0.0922;
    98    4.339            2000            1867         -0.0910;
    99    4.383            2000            1869         -0.0891;
   100    4.427            2000            1872         -0.0870;
   101    4.471            2000            1875         -0.0855;
   102    4.516            2000            1876         -0.0842;
   103    4.560            2000            1879         -0.0821;
   104    4.604            2000            1882         -0.0806;
   105    4.648            2000            1884         -0.0794;
   106    4.693            2000            1885         -0.0784;
   107    4.737            2000            1887         -0.0766;
   108    4.781            2000            1890         -0.0745;
   109    4.826            2000            1892         -0.0736;
   110    4.870            2000            1893         -0.0730;
   111    4.914            2000            1895         -0.0711;
   112    4.958            2000            1898         -0.0690;
   113    5.003               0            1899         -0.0687;
   114    5.047               0            1900          1.2998;
   115    5.091               0            1883          1.2830;
   116    5.135               0            1837          1.2445;
   117    5.180               0            1766          1.1923;
   118    5.224               0            1687          1.1383;
   119    5.268               0            1623          1.0995;
   120    5.313               0            1585          1.0778;
   121    5.357               0            1572          1.0739;
   122    5.401               0            1570          1.0733;
   123    5.445               0            1561          1.0641;
   124    5.490               0            1533          1.0403;
   125    5.534               0            1482          1.0027;
   126    5.578               0            1420          0.9582;
   127    5.622               0            1364          0.9228;
   128    5.667               0            1326          0.9011;
   129    5.711               0            1307          0.8919;
   130    5.755               0            1301          0.8898;
   131    5.799               0            1295          0.8828;
   132    5.844               0            1276          0.8669;
   133    5.888               0            1240          0.8400;
   134    5.932               0            1195          0.8086;
   135    5.977               0            1152          0.7799;
   136    6.021               0            1118          0.7595;
   137    6.065               0            1097          0.7463;
   138    6.109               0            1087          0.7405;
   139    6.154               0            1077          0.7341;
   140    6.198               0            1061          0.7210;
   141    6.242               0            1036          0.7027;
   142    6.286               0            1005          0.6810;
   143    6.331               0             975          0.6618;
   144    6.375               0             950          0.6444;
   145    6.419               0             930          0.6325;
   146    6.464               0             916          0.6239;
   147    6.508               0             901          0.6129;
   148    6.552               0             884          0.6013;
   149    6.596               0             865          0.5870;
   150    6.641               0             846          0.5736;
   151    6.685               0             828          0.5635;
   152    6.729               0             810          0.5501;
   153    6.773               0             793          0.5391;
   154    6.818               0             776          0.5281;
   155    6.862               0             760          0.5171;
   156    6.906               0             743          0.5052;
   157    6.951               0             728          0.4951;
   158    6.995               0             713          0.4847;
   159    7.039               0             698          0.4734;
   160    7.083               0             683          0.4637;
   161    7.128               0             669          0.4551;
   162    7.172               0             655          0.4460;
   163    7.216               0             642          0.4353;
   164    7.260               0             628          0.4277;
   165    7.305               0             616          0.4188;
   166    7.349               0             604          0.4109;
   167    7.393               0             592          0.4023;
   168    7.438               0             579          0.3941;
   169    7.482               0             568          0.3864;
   170    7.526               0             558          0.3788;
   171    7.570               0             546          0.3709;
   172    7.615               0             535          0.3642;
   173    7.659               0             525          0.3571;
   174    7.703               0             516          0.3513;
   175    7.747               0             506          0.3431;
   176    7.792               0             496          0.3373;
   177    7.836               0             487          0.3309;
   178    7.880               0             479          0.3251;
   179    7.924               0             470          0.3190;
   180    7.969               0             461          0.3138;
   181    8.013               0             453          0.3086;
   182    8.057               0             445          0.3031;
   183    8.102               0             437          0.2976;
   184    8.146               0             429          0.2921;
   185    8.190               0             422          0.2872;
   186    8.234               0             415          0.2830;
   187    8.279               0             408          0.2775;
   188    8.323               0             401          0.2726;
   189    8.367               0             394          0.2683;
   190    8.411               0             389          0.2647;
   191    8.456               0             382          0.2595;
   192    8.500               0             375          0.2555;
   193    8.544               0             370          0.2518;
   194    8.589               0             365          0.2488;
   195    8.633               0             359          0.2433;
   196    8.677               0             353          0.2411;
   197    8.721               0             349          0.2378;
   198    8.766               0             344          0.2347;
   199    8.810               0             339          0.2302;
   200    8.854               0             334          0.2271;
   201    8.898               0             330          0.2247;
   202    8.943               0             326          0.2216;
   203    8.987               0             321          0.2186;
   204    9.031               0             317          0.2158;
   205    9.076               0             313          0.2140;
   206    9.120               0             310          0.2109;
   207    9.164               0             305          0.2085;
   208    9.208               0             302          0.2054;
   209    9.253               0             299          0.2036;
   210    9.297               0             296          0.2015;
   211    9.341               0             292          0.1993;
   212    9.385               0             289          0.1975;
   213    9.430               0             287          0.1957;
   214    9.474               0             284          0.1935;
   215    9.518               0             281          0.1914;
   216    9.563               0             278          0.1905;
   217    9.607               0             277          0.1893;
   218    9.651               0             274          0.1865;
   219    9.695               0             271          0.1847;
   220    9.740               0             270          0.1844;
   221    9.784               0             268          0.1832;
   222    9.828               0             266          0.1813;
   223    9.872               0             264          0.1798;
   224    9.917               0             262          0.1789;
   225    9.961               0             261          0.1786;
   226   10.005           -2000             259          0.1764;
   227   10.049           -2000             254          1.5391;
   228   10.094           -2000             231          1.5189;
   229   10.138           -2000             177          1.4762;
   230   10.182           -2000              94          1.4142;
   231   10.227           -2000               2          1.3516;
   232   10.271           -2000             -74          1.3049;
   233   10.315           -2000            -120          1.2790;
   234   10.359           -2000            -138          1.2711;
   235   10.404           -2000            -142          1.2698;
   236   10.448           -2000            -152          1.2607;
   237   10.492           -2000            -185          1.2326;
   238   10.536           -2000            -244          1.1880;
   239   10.581           -2000            -317          1.1371;
   240   10.625           -2000            -384          1.0931;
   241   10.669           -2000            -431          1.0650;
   242   10.714           -2000            -456          1.0531;
   243   10.758           -2000            -464          1.0491;
   244   10.802           -2000            -471          1.0433;
