 Sample   Time     Commanded 2 Pos  Encoder 4 Pos   Control Effort 2

[    0    0.000               0               2          0.0000;
     1    0.044            2000               0          2.0006;
     2    0.089            2000             -28          2.0006;
     3    0.133            2000            -101          2.0006;
     4    0.177            2000            -213          2.0006;
     5    0.221            2000            -340          2.0006;
     6    0.266            2000            -451          2.0006;
     7    0.310            2000            -526          2.0006;
     8    0.354            2000            -564          2.0006;
     9    0.398            2000            -582          2.0006;
    10    0.443            2000            -609          2.0006;
    11    0.487            2000            -665          2.0006;
    12    0.531            2000            -755          2.0006;
    13    0.576            2000            -866          2.0006;
    14    0.620            2000            -976          2.0006;
    15    0.664            2000           -1063          2.0006;
    16    0.708            2000           -1120          2.0006;
    17    0.753            2000           -1155          2.0006;
    18    0.797            2000           -1188          2.0006;
    19    0.841            2000           -1238          2.0006;
    20    0.885            2000           -1312          2.0006;
    21    0.930            2000           -1407          2.0006;
    22    0.974            2000           -1506          2.0006;
    23    1.018            2000           -1595          2.0006;
    24    1.063            2000           -1663          2.0006;
    25    1.107            2000           -1713          2.0006;
    26    1.151            2000           -1759          2.0006;
    27    1.195            2000           -1811          2.0006;
    28    1.240            2000           -1878          2.0006;
    29    1.284            2000           -1958          2.0006;
    30    1.328            2000           -2045          2.0006;
    31    1.372            2000           -2128          2.0006;
    32    1.417            2000           -2198          2.0006;
    33    1.461            2000           -2259          2.0006;
    34    1.505            2000           -2316          2.0006;
    35    1.549            2000           -2377          2.0006;
    36    1.594            2000           -2444          2.0006;
    37    1.638            2000           -2518          2.0006;
    38    1.682            2000           -2594          2.0006;
    39    1.727            2000           -2667          2.0006;
    40    1.771            2000           -2736          2.0006;
    41    1.815            2000           -2802          2.0006;
    42    1.859            2000           -2869          2.0006;
    43    1.904            2000           -2937          2.0006;
    44    1.948            2000           -3005          2.0006;
    45    1.992            2000           -3074          2.0006;
    46    2.036            2000           -3142          2.0006;
    47    2.081            2000           -3209          2.0006;
    48    2.125            2000           -3276          2.0006;
    49    2.169            2000           -3345          2.0006;
    50    2.214            2000           -3413          2.0006;
    51    2.258            2000           -3480          2.0006;
    52    2.302            2000           -3548          2.0006;
    53    2.346            2000           -3616          2.0006;
    54    2.391            2000           -3684          2.0006;
    55    2.435            2000           -3751          2.0006;
    56    2.479            2000           -3818          2.0006;
    57    2.523            2000           -3886          2.0006;
    58    2.568            2000           -3954          2.0006;
    59    2.612            2000           -4021          2.0006;
    60    2.656            2000           -4088          2.0006;
    61    2.701            2000           -4156          2.0006;
    62    2.745            2000           -4223          2.0006;
    63    2.789            2000           -4289          2.0006;
    64    2.833            2000           -4356          2.0006;
    65    2.878            2000           -4424          2.0006;
    66    2.922            2000           -4491          2.0006;
    67    2.966            2000           -4557          2.0006;
    68    3.010            2000           -4623          2.0006;
    69    3.055            2000           -4690          2.0006;
    70    3.099            2000           -4757          2.0006;
    71    3.143            2000           -4823          2.0006;
    72    3.188            2000           -4889          2.0006;
    73    3.232            2000           -4956          2.0006;
    74    3.276            2000           -5022          2.0006;
    75    3.320            2000           -5088          2.0006;
    76    3.365            2000           -5154          2.0006;
    77    3.409            2000           -5221          2.0006;
    78    3.453            2000           -5287          2.0006;
    79    3.497            2000           -5352          2.0006;
    80    3.542            2000           -5418          2.0006;
    81    3.586            2000           -5485          2.0006;
    82    3.630            2000           -5551          2.0006;
    83    3.674            2000           -5616          2.0006;
    84    3.719            2000           -5682          2.0006;
    85    3.763            2000           -5749          2.0006;
    86    3.807            2000           -5815          2.0006;
    87    3.852            2000           -5880          2.0006;
    88    3.896            2000           -5946          2.0006;
    89    3.940            2000           -6013          2.0006;
    90    3.984            2000           -6078          2.0006;
    91    4.029            2000           -6143          2.0006;
    92    4.073            2000           -6209          2.0006;
    93    4.117            2000           -6275          2.0006;
    94    4.161            2000           -6340          2.0006;
    95    4.206            2000           -6406          2.0006;
    96    4.250            2000           -6472          2.0006;
    97    4.294            2000           -6538          2.0006;
    98    4.339            2000           -6603          2.0006;
    99    4.383            2000           -6668          2.0006;
   100    4.427            2000           -6733          2.0006;
   101    4.471            2000           -6800          2.0006;
   102    4.516            2000           -6864          2.0006;
   103    4.560            2000           -6929          2.0006;
   104    4.604            2000           -6995          2.0006;
   105    4.648            2000           -7060          2.0006;
   106    4.693            2000           -7125          2.0006;
   107    4.737            2000           -7190          2.0006;
   108    4.781            2000           -7256          2.0006;
   109    4.826            2000           -7321          2.0006;
   110    4.870            2000           -7385          2.0006;
   111    4.914            2000           -7450          2.0006;
   112    4.958            2000           -7516          2.0006;
   113    5.003            2000           -7581          2.0006;
   114    5.047               0           -7641          0.0000;
   115    5.091               0           -7673          0.0000;
   116    5.135               0           -7662          0.0000;
   117    5.180               0           -7613          0.0000;
   118    5.224               0           -7551          0.0000;
   119    5.268               0           -7509          0.0000;
   120    5.313               0           -7503          0.0000;
   121    5.357               0           -7533          0.0000;
   122    5.401               0           -7579          0.0000;
   123    5.445               0           -7616          0.0000;
   124    5.490               0           -7625          0.0000;
   125    5.534               0           -7598          0.0000;
   126    5.578               0           -7554          0.0000;
   127    5.622               0           -7514          0.0000;
   128    5.667               0           -7497          0.0000;
   129    5.711               0           -7504          0.0000;
   130    5.755               0           -7532          0.0000;
   131    5.799               0           -7561          0.0000;
   132    5.844               0           -7576          0.0000;
   133    5.888               0           -7568          0.0000;
   134    5.932               0           -7541          0.0000;
   135    5.977               0           -7513          0.0000;
   136    6.021               0           -7494          0.0000;
   137    6.065               0           -7491          0.0000;
   138    6.109               0           -7502          0.0000;
   139    6.154               0           -7519          0.0000;
   140    6.198               0           -7529          0.0000;
   141    6.242               0           -7527          0.0000;
   142    6.286               0           -7514          0.0000;
   143    6.331               0           -7498          0.0000;
   144    6.375               0           -7487          0.0000;
   145    6.419               0           -7482          0.0000;
   146    6.464               0           -7483          0.0000;
   147    6.508               0           -7487          0.0000;
   148    6.552               0           -7489          0.0000;
   149    6.596               0           -7486          0.0000;
   150    6.641               0           -7480          0.0000;
   151    6.685               0           -7476          0.0000;
   152    6.729               0           -7472          0.0000;
   153    6.773               0           -7468          0.0000;
   154    6.818               0           -7464          0.0000;
   155    6.862               0           -7461          0.0000;
   156    6.906               0           -7457          0.0000;
   157    6.951               0           -7452          0.0000;
   158    6.995               0           -7449          0.0000;
   159    7.039               0           -7445          0.0000;
   160    7.083               0           -7441          0.0000;
   161    7.128               0           -7437          0.0000;
   162    7.172               0           -7434          0.0000;
   163    7.216               0           -7430          0.0000;
   164    7.260               0           -7426          0.0000;
   165    7.305               0           -7422          0.0000;
   166    7.349               0           -7419          0.0000;
   167    7.393               0           -7415          0.0000;
   168    7.438               0           -7411          0.0000;
   169    7.482               0           -7407          0.0000;
   170    7.526               0           -7404          0.0000;
   171    7.570               0           -7401          0.0000;
   172    7.615               0           -7397          0.0000;
   173    7.659               0           -7392          0.0000;
   174    7.703               0           -7389          0.0000;
   175    7.747               0           -7386          0.0000;
   176    7.792               0           -7381          0.0000;
   177    7.836               0           -7377          0.0000;
   178    7.880               0           -7374          0.0000;
   179    7.924               0           -7371          0.0000;
   180    7.969               0           -7366          0.0000;
   181    8.013               0           -7362          0.0000;
   182    8.057               0           -7359          0.0000;
   183    8.102               0           -7356          0.0000;
   184    8.146               0           -7351          0.0000;
   185    8.190               0           -7348          0.0000;
   186    8.234               0           -7345          0.0000;
   187    8.279               0           -7341          0.0000;
   188    8.323               0           -7336          0.0000;
   189    8.367               0           -7333          0.0000;
   190    8.411               0           -7329          0.0000;
   191    8.456               0           -7326          0.0000;
   192    8.500               0           -7321          0.0000;
   193    8.544               0           -7317          0.0000;
   194    8.589               0           -7314          0.0000;
   195    8.633               0           -7310          0.0000;
   196    8.677               0           -7306          0.0000;
   197    8.721               0           -7302          0.0000;
   198    8.766               0           -7299          0.0000;
   199    8.810               0           -7295          0.0000;
   200    8.854               0           -7290          0.0000;
   201    8.898               0           -7287          0.0000;
   202    8.943               0           -7284          0.0000;
   203    8.987               0           -7279          0.0000;
   204    9.031               0           -7275          0.0000;
   205    9.076               0           -7271          0.0000;
   206    9.120               0           -7268          0.0000;
   207    9.164               0           -7264          0.0000;
   208    9.208               0           -7259          0.0000;
   209    9.253               0           -7256          0.0000;
   210    9.297               0           -7253          0.0000;
   211    9.341               0           -7248          0.0000;
   212    9.385               0           -7244          0.0000;
   213    9.430               0           -7241          0.0000;
   214    9.474               0           -7237          0.0000;
   215    9.518               0           -7232          0.0000;
   216    9.563               0           -7228          0.0000;
   217    9.607               0           -7225          0.0000;
   218    9.651               0           -7221          0.0000;
   219    9.695               0           -7217          0.0000;
   220    9.740               0           -7212          0.0000;
   221    9.784               0           -7209          0.0000;
   222    9.828               0           -7205          0.0000;
   223    9.872               0           -7201          0.0000;
   224    9.917               0           -7196          0.0000;
   225    9.961               0           -7193          0.0000;
   226   10.005           -2000           -7189          0.0000;
   227   10.049           -2000           -7180         -2.0006;
   228   10.094           -2000           -7142         -2.0006;
   229   10.138           -2000           -7059         -2.0006;
   230   10.182           -2000           -6937         -2.0006;
   231   10.227           -2000           -6800         -2.0006;
   232   10.271           -2000           -6679         -2.0006;
   233   10.315           -2000           -6595         -2.0006;
   234   10.359           -2000           -6549         -2.0006;
   235   10.404           -2000           -6523         -2.0006;
   236   10.448           -2000           -6492         -2.0006;
   237   10.492           -2000           -6434         -2.0006;
   238   10.536           -2000           -6342         -2.0006;
   239   10.581           -2000           -6224         -2.0006;
