 Sample   Time     Commanded 2 Pos  Encoder 2 Pos 

[    0    0.000               0             -37;
     1    0.044            2000              26;
     2    0.089            2000             221;
     3    0.133            2000             452;
     4    0.177            2000             600;
     5    0.221            2000             598;
     6    0.266            2000             463;
     7    0.310            2000             268;
     8    0.354            2000             109;
     9    0.398            2000              72;
    10    0.443            2000             172;
    11    0.487            2000             348;
    12    0.531            2000             509;
    13    0.576            2000             580;
    14    0.620            2000             534;
    15    0.664            2000             404;
    16    0.708            2000             258;
    17    0.753            2000             176;
    18    0.797            2000             200;
    19    0.841            2000             306;
    20    0.885            2000             437;
    21    0.930            2000             531;
    22    0.974            2000             546;
    23    1.018            2000             480;
    24    1.063            2000             373;
    25    1.107            2000             288;
    26    1.151            2000             269;
    27    1.195            2000             317;
    28    1.240            2000             399;
    29    1.284            2000             478;
    30    1.328            2000             519;
    31    1.372            2000             500;
    32    1.417            2000             440;
    33    1.461            2000             382;
    34    1.505            2000             358;
    35    1.549            2000             374;
    36    1.594            2000             412;
    37    1.638            2000             453;
    38    1.682            2000             482;
    39    1.727            2000             480;
    40    1.771            2000             457;
    41    1.815            2000             438;
    42    1.859            2000             437;
    43    1.904            2000             444;
    44    1.948            2000             451;
    45    1.992            2000             457;
    46    2.036            2000             463;
    47    2.081            2000             461;
    48    2.125            2000             458;
    49    2.169            2000             464;
    50    2.214            2000             471;
    51    2.258            2000             474;
    52    2.302            2000             470;
    53    2.346            2000             475;
    54    2.391            2000             481;
    55    2.435            2000             483;
    56    2.479            2000             480;
    57    2.523            2000             485;
    58    2.568            2000             493;
    59    2.612            2000             496;
    60    2.656            2000             493;
    61    2.701            2000             497;
    62    2.745            2000             503;
    63    2.789            2000             506;
    64    2.833            2000             505;
    65    2.878            2000             508;
    66    2.922            2000             514;
    67    2.966            2000             517;
    68    3.010               0             514;
    69    3.055               0             423;
    70    3.099               0             221;
    71    3.143               0               4;
    72    3.188               0            -118;
    73    3.232               0             -86;
    74    3.276               0              72;
    75    3.320               0             265;
    76    3.365               0             398;
    77    3.409               0             410;
    78    3.453               0             305;
    79    3.497               0             139;
    80    3.542               0              -0;
    81    3.586               0             -39;
    82    3.630               0              32;
    83    3.674               0             160;
    84    3.719               0             282;
    85    3.763               0             339;
    86    3.807               0             307;
    87    3.852               0             208;
    88    3.896               0             100;
    89    3.940               0              41;
    90    3.984               0              56;
    91    4.029               0             121;
    92    4.073               0             200;
    93    4.117               0             255;
    94    4.161               0             257;
    95    4.206               0             211;
    96    4.250               0             150;
    97    4.294               0             112;
    98    4.339               0             111;
    99    4.383               0             135;
   100    4.427               0             166;
   101    4.471               0             191;
   102    4.516               0             194;
   103    4.560               0             175;
   104    4.604               0             154;
   105    4.648               0             148;
   106    4.693               0             152;
   107    4.737               0             153;
   108    4.781               0             152;
   109    4.826               0             153;
   110    4.870               0             151;
   111    4.914               0             146;
   112    4.958               0             144;
   113    5.003               0             148;
   114    5.047               0             145;
   115    5.091               0             138;
   116    5.135               0             135;
   117    5.180               0             138;
   118    5.224               0             135;
   119    5.268               0             128;
   120    5.313               0             126;
   121    5.357               0             128;
   122    5.401               0             125;
   123    5.445               0             119;
   124    5.490               0             116;
   125    5.534               0             118;
   126    5.578               0             115;
   127    5.622               0             108;
   128    5.667               0             106;
   129    5.711               0             109;
   130    5.755               0             105;
   131    5.799               0              99;
   132    5.844               0              97;
   133    5.888               0              99;
   134    5.932               0              95]
