 Sample   Time     Commanded 1 Pos   Encoder 3 Pos 
   216    1.913            2000           -6494;
   217    1.921            2000           -6551;
   218    1.930            2000           -6608;
   219    1.939            2000           -6666;
   220    1.948            2000           -6724;
   221    1.957            2000           -6783;
   222    1.966            2000           -6842;
   223    1.974            2000           -6901;
   224    1.983            2000           -6960;
   225    1.992            2000           -7020;
   226    2.001            2000           -7080;
   227    2.010            2000           -7140;
   228    2.019            2000           -7201;
   229    2.028            2000           -7262;
   230    2.036            2000           -7323;
   231    2.045            2000           -7385;
   232    2.054            2000           -7447;
   233    2.063            2000           -7509;
   234    2.072            2000           -7571;
   235    2.081            2000           -7634;
   236    2.090            2000           -7698;
   237    2.098            2000           -7761;
   238    2.107            2000           -7825;
   239    2.116            2000           -7889;
   240    2.125            2000           -7954;
   241    2.134            2000           -8019;
   242    2.143            2000           -8084;
   243    2.152            2000           -8150;
   244    2.160            2000           -8216;
   245    2.169            2000           -8282;
   246    2.178            2000           -8349;
   247    2.187            2000           -8416;
   248    2.196            2000           -8483;
   249    2.205            2000           -8551;
   250    2.214            2000           -8619;
   251    2.222            2000           -8687;
   252    2.231            2000           -8756;
   253    2.240            2000           -8825;
   254    2.249            2000           -8893;
   255    2.258            2000           -8963;
   256    2.267            2000           -9034;
   257    2.276            2000           -9105;
   258    2.284            2000           -9176;
   259    2.293            2000           -9249;
   260    2.302            2000           -9321;
   261    2.311            2000           -9394;
   262    2.320            2000           -9467;
   263    2.329            2000           -9540;
   264    2.338            2000           -9614;
   265    2.346            2000           -9688;
   266    2.355            2000           -9762;
   267    2.364            2000           -9837;
   268    2.373            2000           -9912;
   269    2.382            2000           -9987;
   270    2.391            2000          -10063;
   271    2.399            2000          -10140;
   272    2.408            2000          -10216;
   273    2.417            2000          -10293;
   274    2.426            2000          -10371;
   275    2.435            2000          -10449;
   276    2.444            2000          -10527;
   277    2.453            2000          -10606;
   278    2.461            2000          -10685;
   279    2.470            2000          -10764;
   280    2.479            2000          -10844;
   281    2.488            2000          -10925;
   282    2.497            2000          -11006;
   283    2.506            2000          -11087;
   284    2.515            2000          -11169;
   285    2.523            2000          -11251;
   286    2.532            2000          -11334;
   287    2.541            2000          -11418;
   288    2.550            2000          -11501;
   289    2.559            2000          -11585;
   290    2.568            2000          -11670;
   291    2.577            2000          -11755;
   292    2.585            2000          -11840;
   293    2.594            2000          -11926;
   294    2.603            2000          -12013;
   295    2.612            2000          -12099;
   296    2.621            2000          -12187;
   297    2.630            2000          -12275;
   298    2.639            2000          -12363;
   299    2.647            2000          -12451;
   300    2.656            2000          -12540;
   301    2.665            2000          -12630;
   302    2.674            2000          -12720;
   303    2.683            2000          -12810;
   304    2.692            2000          -12901;
   305    2.701            2000          -12992;
