 Sample   Time     Commanded 1 Pos   Encoder 3 Pos 

[    0    0.000               0               0;
     1    0.009            2000               0;
     2    0.018            2000              -0;
     3    0.027            2000              -1;
     4    0.035            2000              -3;
     5    0.044            2000              -5;
     6    0.053            2000              -8;
     7    0.062            2000             -10;
     8    0.071            2000             -14;
     9    0.080            2000             -17;
    10    0.089            2000             -22;
    11    0.097            2000             -26;
    12    0.106            2000             -31;
    13    0.115            2000             -36;
    14    0.124            2000             -41;
    15    0.133            2000             -47;
    16    0.142            2000             -53;
    17    0.151            2000             -60;
    18    0.159            2000             -66;
    19    0.168            2000             -74;
    20    0.177            2000             -81;
    21    0.186            2000             -89;
    22    0.195            2000             -97;
    23    0.204            2000            -106;
    24    0.213            2000            -114;
    25    0.221            2000            -124;
    26    0.230            2000            -133;
    27    0.239            2000            -143;
    28    0.248            2000            -153;
    29    0.257            2000            -164;
    30    0.266            2000            -175;
    31    0.274            2000            -186;
    32    0.283            2000            -198;
    33    0.292            2000            -209;
    34    0.301            2000            -222;
    35    0.310            2000            -234;
    36    0.319            2000            -247;
    37    0.328            2000            -260;
    38    0.336            2000            -273;
    39    0.345            2000            -287;
    40    0.354            2000            -301;
    41    0.363            2000            -315;
    42    0.372            2000            -330;
    43    0.381            2000            -344;
    44    0.390            2000            -360;
    45    0.398            2000            -375;
    46    0.407            2000            -390;
    47    0.416            2000            -406;
    48    0.425            2000            -423;
    49    0.434            2000            -439;
    50    0.443            2000            -456;
    51    0.452            2000            -473;
    52    0.460            2000            -491;
    53    0.469            2000            -509;
    54    0.478            2000            -527;
    55    0.487            2000            -545;
    56    0.496            2000            -563;
    57    0.505            2000            -582;
    58    0.514            2000            -602;
    59    0.522            2000            -621;
    60    0.531            2000            -641;
    61    0.540            2000            -661;
    62    0.549            2000            -681;
    63    0.558            2000            -702;
    64    0.567            2000            -723;
    65    0.576            2000            -744;
    66    0.584            2000            -765;
    67    0.593            2000            -787;
    68    0.602            2000            -809;
    69    0.611            2000            -832;
    70    0.620            2000            -854;
    71    0.629            2000            -877;
    72    0.638            2000            -901;
    73    0.646            2000            -924;
    74    0.655            2000            -948;
    75    0.664            2000            -972;
    76    0.673            2000            -996;
    77    0.682            2000           -1021;
    78    0.691            2000           -1046;
    79    0.699            2000           -1070;
    80    0.708            2000           -1096;
    81    0.717            2000           -1122;
    82    0.726            2000           -1147;
    83    0.735            2000           -1174;
    84    0.744            2000           -1200;
    85    0.753            2000           -1226;
    86    0.761            2000           -1253;
    87    0.770            2000           -1281;
    88    0.779            2000           -1308;
    89    0.788            2000           -1336;
    90    0.797            2000           -1364;
    91    0.806            2000           -1392;
    92    0.815            2000           -1421;
    93    0.823            2000           -1450;
    94    0.832            2000           -1479;
    95    0.841            2000           -1509;
    96    0.850            2000           -1538;
    97    0.859            2000           -1569;
    98    0.868            2000           -1599;
    99    0.877            2000           -1630;
   100    0.885            2000           -1661;
   101    0.894            2000           -1693;
   102    0.903            2000           -1724;
   103    0.912            2000           -1756;
   104    0.921            2000           -1789;
   105    0.930            2000           -1821;
   106    0.939            2000           -1854;
   107    0.947            2000           -1888;
   108    0.956            2000           -1922;
   109    0.965            2000           -1955;
   110    0.974            2000           -1990;
   111    0.983            2000           -2024;
   112    0.992            2000           -2059;
   113    1.001            2000           -2094;
   114    1.009            2000           -2130;
   115    1.018            2000           -2165;
   116    1.027            2000           -2201;
   117    1.036            2000           -2237;
   118    1.045            2000           -2274;
   119    1.054            2000           -2310;
   120    1.063            2000           -2348;
   121    1.071            2000           -2385;
   122    1.080            2000           -2422;
   123    1.089            2000           -2460;
   124    1.098            2000           -2498;
   125    1.107            2000           -2536;
   126    1.116            2000           -2574;
   127    1.124            2000           -2613;
   128    1.133            2000           -2651;
   129    1.142            2000           -2690;
   130    1.151            2000           -2729;
   131    1.160            2000           -2769;
   132    1.169            2000           -2808;
   133    1.178            2000           -2847;
   134    1.186            2000           -2887;
   135    1.195            2000           -2927;
   136    1.204            2000           -2968;
   137    1.213            2000           -3008;
   138    1.222            2000           -3049;
   139    1.231            2000           -3089;
   140    1.240            2000           -3130;
   141    1.248            2000           -3172;
   142    1.257            2000           -3213;
   143    1.266            2000           -3255;
   144    1.275            2000           -3297;
   145    1.284            2000           -3339;
   146    1.293            2000           -3381;
   147    1.302            2000           -3424;
   148    1.310            2000           -3467;
   149    1.319            2000           -3510;
   150    1.328            2000           -3553;
   151    1.337            2000           -3596;
   152    1.346            2000           -3640;
   153    1.355            2000           -3683;
   154    1.364            2000           -3727;
   155    1.372            2000           -3772;
   156    1.381            2000           -3816;
   157    1.390            2000           -3861;
   158    1.399            2000           -3905;
   159    1.408            2000           -3950;
   160    1.417            2000           -3995;
   161    1.426            2000           -4040;
   162    1.434            2000           -4087;
   163    1.443            2000           -4134;
   164    1.452            2000           -4181;
   165    1.461            2000           -4228;
   166    1.470            2000           -4275;
   167    1.479            2000           -4323;
   168    1.488            2000           -4371;
   169    1.496            2000           -4420;
   170    1.505            2000           -4469;
   171    1.514            2000           -4517;
   172    1.523            2000           -4566;
   173    1.532            2000           -4615;
   174    1.541            2000           -4664;
   175    1.549            2000           -4714;
   176    1.558            2000           -4763;
   177    1.567            2000           -4813;
   178    1.576            2000           -4862;
   179    1.585            2000           -4912;
   180    1.594            2000           -4963;
   181    1.603            2000           -5013;
   182    1.611            2000           -5064;
   183    1.620            2000           -5115;
   184    1.629            2000           -5166;
   185    1.638            2000           -5217;
   186    1.647            2000           -5269;
   187    1.656            2000           -5321;
   188    1.665            2000           -5373;
   189    1.673            2000           -5425;
   190    1.682            2000           -5478;
   191    1.691            2000           -5530;
   192    1.700            2000           -5584;
   193    1.709            2000           -5637;
   194    1.718            2000           -5691;
   195    1.727            2000           -5744;
   196    1.735            2000           -5798;
   197    1.744            2000           -5853;
   198    1.753            2000           -5907;
   199    1.762            2000           -5962;
   200    1.771            2000           -6018;
