 Sample   Time     Commanded 2 Pos  Encoder 2 Pos 

[    0    0.000               0             -93;
     1    0.044            2000             -34;
     2    0.089            2000             148;
     3    0.133            2000             371;
     4    0.177            2000             529;
     5    0.221            2000             542;
     6    0.266            2000             414;
     7    0.310            2000             223;
     8    0.354            2000              65;
     9    0.398            2000              15;
    10    0.443            2000              92;
    11    0.487            2000             253;
    12    0.531            2000             420;
    13    0.576            2000             505;
    14    0.620            2000             474;
    15    0.664            2000             359;
    16    0.708            2000             223;
    17    0.753            2000             131;
    18    0.797            2000             129;
    19    0.841            2000             214;
    20    0.885            2000             339;
    21    0.930            2000             437;
    22    0.974            2000             462;
    23    1.018            2000             415;
    24    1.063            2000             329;
    25    1.107            2000             246;
    26    1.151            2000             210;
    27    1.195            2000             241;
    28    1.240            2000             312;
    29    1.284            2000             383;
    30    1.328            2000             419;
    31    1.372            2000             412;
    32    1.417            2000             375;
    33    1.461            2000             328;
    34    1.505            2000             299;
    35    1.549            2000             308;
    36    1.594            2000             340;
    37    1.638            2000             370;
    38    1.682            2000             387;
    39    1.727            2000             386;
    40    1.771            2000             376;
    41    1.815            2000             365;
    42    1.859            2000             363;
    43    1.904            2000             372;
    44    1.948            2000             380;
    45    1.992            2000             380;
    46    2.036            2000             379;
    47    2.081            2000             384;
    48    2.125            2000             388;
    49    2.169            2000             385;
    50    2.214            2000             387;
    51    2.258            2000             394;
    52    2.302            2000             401;
    53    2.346            2000             401;
    54    2.391            2000             401;
    55    2.435            2000             407;
    56    2.479            2000             413;
    57    2.523            2000             413;
    58    2.568            2000             414;
    59    2.612            2000             421;
    60    2.656            2000             427;
    61    2.701            2000             429;
    62    2.745            2000             429;
    63    2.789            2000             434;
    64    2.833            2000             440;
    65    2.878            2000             441;
    66    2.922            2000             441;
    67    2.966            2000             448;
    68    3.010               0             451;
    69    3.055               0             361;
    70    3.099               0             154;
    71    3.143               0             -64;
    72    3.188               0            -187;
    73    3.232               0            -160;
    74    3.276               0              -7;
    75    3.320               0             196;
    76    3.365               0             343;
    77    3.409               0             359;
    78    3.453               0             250;
    79    3.497               0              84;
    80    3.542               0             -58;
    81    3.586               0            -108;
    82    3.630               0             -44;
    83    3.674               0              93;
    84    3.719               0             231;
    85    3.763               0             296;
    86    3.807               0             264;
    87    3.852               0             167;
    88    3.896               0              56;
    89    3.940               0             -17;
    90    3.984               0             -12;
    91    4.029               0              59;
    92    4.073               0             152;
    93    4.117               0             216;
    94    4.161               0             224;
    95    4.206               0             183;
    96    4.250               0             121;
    97    4.294               0              68;
    98    4.339               0              55;
    99    4.383               0              85;
   100    4.427               0             129;
   101    4.471               0             161;
   102    4.516               0             169;
   103    4.560               0             155;
   104    4.604               0             132;
   105    4.648               0             112;
   106    4.693               0             111;
   107    4.737               0             123;
   108    4.781               0             132;
   109    4.826               0             129;
   110    4.870               0             126;
   111    4.914               0             127;
   112    4.958               0             124;
   113    5.003               0             121;
   114    5.047               0             123;
   115    5.091               0             127;
   116    5.135               0             122;
   117    5.180               0             117;
   118    5.224               0             120;
   119    5.268               0             124;
   120    5.313               0             119;
   121    5.357               0             114;
   122    5.401               0             116;
   123    5.445               0             120;
   124    5.490               0             116;
   125    5.534               0             111;
   126    5.578               0             113;
   127    5.622               0             117;
   128    5.667               0             112;
   129    5.711               0             107;
   130    5.755               0             110;
   131    5.799               0             113;
   132    5.844               0             108;
   133    5.888               0             104;
   134    5.932               0             106]
