 Sample   Time     Commanded 1 Pos   Encoder 3 Pos 

[    0    0.000               0               0;
     1    0.044            2000               9;
     2    0.089            2000              41;
     3    0.133            2000              96;
     4    0.177            2000             172;
     5    0.221            2000             269;
     6    0.266            2000             387;
     7    0.310            2000             526;
     8    0.354            2000             685;
     9    0.398            2000             860;
    10    0.443            2000            1034;
    11    0.487            2000            1198;
    12    0.531            2000            1344;
    13    0.576            2000            1471;
    14    0.620            2000            1578;
    15    0.664            2000            1668;
    16    0.708            2000            1742;
    17    0.753            2000            1802;
    18    0.797            2000            1851;
    19    0.841            2000            1890;
    20    0.885            2000            1921;
    21    0.930            2000            1946;
    22    0.974            2000            1965;
    23    1.018            2000            1980;
    24    1.063            2000            1992;
    25    1.107            2000            2001;
    26    1.151            2000            2008;
    27    1.195            2000            2014;
    28    1.240            2000            2017;
    29    1.284            2000            2020;
    30    1.328            2000            2023;
    31    1.372            2000            2024;
    32    1.417            2000            2026;
    33    1.461            2000            2027;
    34    1.505            2000            2027;
    35    1.549            2000            2028;
    36    1.594            2000            2028;
    37    1.638            2000            2029;
    38    1.682            2000            2029;
    39    1.727            2000            2029;
    40    1.771            2000            2029;
    41    1.815            2000            2030;
    42    1.859            2000            2030;
    43    1.904            2000            2030;
    44    1.948            2000            2030;
    45    1.992            2000            2030;
    46    2.036            2000            2030;
    47    2.081            2000            2030;
    48    2.125            2000            2030;
    49    2.169            2000            2030;
    50    2.214            2000            2030;
    51    2.258            2000            2031;
    52    2.302            2000            2031;
    53    2.346            2000            2031;
    54    2.391            2000            2031;
    55    2.435            2000            2031;
    56    2.479            2000            2031;
    57    2.523            2000            2031;
    58    2.568            2000            2031;
    59    2.612            2000            2031;
    60    2.656            2000            2031;
    61    2.701            2000            2031;
    62    2.745            2000            2031;
    63    2.789            2000            2031;
    64    2.833            2000            2031;
    65    2.878            2000            2031;
    66    2.922            2000            2031;
    67    2.966            2000            2031;
    68    3.010               0            2031;
    69    3.055               0            1990;
    70    3.099               0            1881;
    71    3.143               0            1711;
    72    3.188               0            1505;
    73    3.232               0            1294;
    74    3.276               0            1094;
    75    3.320               0             912;
    76    3.365               0             753;
    77    3.409               0             616;
    78    3.453               0             501;
    79    3.497               0             406;
    80    3.542               0             328;
    81    3.586               0             265;
    82    3.630               0             215;
    83    3.674               0             174;
    84    3.719               0             142;
    85    3.763               0             117;
    86    3.807               0              97;
    87    3.852               0              82;
    88    3.896               0              70;
    89    3.940               0              61;
    90    3.984               0              53;
    91    4.029               0              48;
    92    4.073               0              44;
    93    4.117               0              40;
    94    4.161               0              37;
    95    4.206               0              35;
    96    4.250               0              34;
    97    4.294               0              32;
    98    4.339               0              32;
    99    4.383               0              30;
   100    4.427               0              30;
   101    4.471               0              29;
   102    4.516               0              29;
   103    4.560               0              28;
   104    4.604               0              28;
   105    4.648               0              28;
   106    4.693               0              28;
   107    4.737               0              27;
   108    4.781               0              27;
   109    4.826               0              26;
   110    4.870               0              26;
   111    4.914               0              26;
   112    4.958               0              26;
   113    5.003               0              26;
   114    5.047               0              26;
   115    5.091               0              25;
   116    5.135               0              25;
   117    5.180               0              25;
   118    5.224               0              24;
   119    5.268               0              24;
   120    5.313               0              24;
   121    5.357               0              24;
   122    5.401               0              24;
   123    5.445               0              24;
   124    5.490               0              24;
   125    5.534               0              24;
   126    5.578               0              24;
   127    5.622               0              24;
   128    5.667               0              24;
   129    5.711               0              23;
   130    5.755               0              23;
   131    5.799               0              23;
   132    5.844               0              23;
   133    5.888               0              23;
   134    5.932               0              22;
   135    5.977               0              22;
   136    6.021           -2000              20;
   137    6.065           -2000             -33;
   138    6.109           -2000            -148;
   139    6.154           -2000            -323;
   140    6.198           -2000            -531;
   141    6.242           -2000            -744;
   142    6.286           -2000            -945;
   143    6.331           -2000           -1128;
   144    6.375           -2000           -1288;
   145    6.419           -2000           -1425;
   146    6.464           -2000           -1540;
   147    6.508           -2000           -1635;
   148    6.552           -2000           -1713;
   149    6.596           -2000           -1776;
   150    6.641           -2000           -1827;
   151    6.685           -2000           -1868;
   152    6.729           -2000           -1899;
   153    6.773           -2000           -1925;
   154    6.818           -2000           -1944;
   155    6.862           -2000           -1960;
   156    6.906           -2000           -1972;
   157    6.951           -2000           -1981;
   158    6.995           -2000           -1988;
   159    7.039           -2000           -1994;
   160    7.083           -2000           -1998;
   161    7.128           -2000           -2001;
   162    7.172           -2000           -2004;
   163    7.216           -2000           -2006;
   164    7.260           -2000           -2007;
   165    7.305           -2000           -2008;
   166    7.349           -2000           -2009;
   167    7.393           -2000           -2010;
   168    7.438           -2000           -2010;
   169    7.482           -2000           -2011;
   170    7.526           -2000           -2011;
   171    7.570           -2000           -2011;
   172    7.615           -2000           -2012;
   173    7.659           -2000           -2012;
   174    7.703           -2000           -2012;
   175    7.747           -2000           -2012;
   176    7.792           -2000           -2012;
   177    7.836           -2000           -2013;
   178    7.880           -2000           -2013;
   179    7.924           -2000           -2013;
   180    7.969           -2000           -2013;
   181    8.013           -2000           -2013;
   182    8.057           -2000           -2013;
   183    8.102           -2000           -2013;
   184    8.146           -2000           -2013;
   185    8.190           -2000           -2013;
   186    8.234           -2000           -2014;
   187    8.279           -2000           -2014;
   188    8.323           -2000           -2014;
   189    8.367           -2000           -2014;
   190    8.411           -2000           -2014;
   191    8.456           -2000           -2014;
   192    8.500           -2000           -2014;
   193    8.544           -2000           -2014;
   194    8.589           -2000           -2014;
   195    8.633           -2000           -2014;
   196    8.677           -2000           -2014;
   197    8.721           -2000           -2014;
   198    8.766           -2000           -2014;
   199    8.810           -2000           -2014;
   200    8.854           -2000           -2014;
   201    8.898           -2000           -2014;
   202    8.943           -2000           -2014;
   203    8.987           -2000           -2014;
   204    9.031               0           -2011;
   205    9.076               0           -1984;
   206    9.120               0           -1932;
   207    9.164               0           -1855;
   208    9.208               0           -1753;
   209    9.253               0           -1628;
