 Sample   Time     Commanded 1 Pos   Encoder 3 Pos 

[    0    0.000               0               3;
     1    0.044            2000              12;
     2    0.089            2000              50;
     3    0.133            2000             115;
     4    0.177            2000             206;
     5    0.221            2000             322;
     6    0.266            2000             465;
     7    0.310            2000             632;
     8    0.354            2000             816;
     9    0.398            2000             998;
    10    0.443            2000            1167;
    11    0.487            2000            1317;
    12    0.531            2000            1447;
    13    0.576            2000            1558;
    14    0.620            2000            1650;
    15    0.664            2000            1725;
    16    0.708            2000            1787;
    17    0.753            2000            1836;
    18    0.797            2000            1876;
    19    0.841            2000            1908;
    20    0.885            2000            1934;
    21    0.930            2000            1954;
    22    0.974            2000            1969;
    23    1.018            2000            1982;
    24    1.063            2000            1991;
    25    1.107            2000            1998;
    26    1.151            2000            2003;
    27    1.195            2000            2007;
    28    1.240            2000            2011;
    29    1.284            2000            2013;
    30    1.328            2000            2015;
    31    1.372            2000            2016;
    32    1.417            2000            2017;
    33    1.461            2000            2018;
    34    1.505            2000            2018;
    35    1.549            2000            2019;
    36    1.594            2000            2019;
    37    1.638            2000            2020;
    38    1.682            2000            2020;
    39    1.727            2000            2020;
    40    1.771            2000            2021;
    41    1.815            2000            2021;
    42    1.859            2000            2022;
    43    1.904            2000            2022;
    44    1.948            2000            2022;
    45    1.992            2000            2022;
    46    2.036            2000            2022;
    47    2.081            2000            2022;
    48    2.125            2000            2022;
    49    2.169            2000            2022;
    50    2.214            2000            2022;
    51    2.258            2000            2022;
    52    2.302            2000            2022;
    53    2.346            2000            2022;
    54    2.391            2000            2023;
    55    2.435            2000            2023;
    56    2.479            2000            2023;
    57    2.523            2000            2023;
    58    2.568            2000            2023;
    59    2.612            2000            2023;
    60    2.656            2000            2024;
    61    2.701            2000            2024;
    62    2.745            2000            2024;
    63    2.789            2000            2024;
    64    2.833            2000            2024;
    65    2.878            2000            2024;
    66    2.922            2000            2024;
    67    2.966            2000            2024;
    68    3.010               0            2024;
    69    3.055               0            1989;
    70    3.099               0            1892;
    71    3.143               0            1734;
    72    3.188               0            1535;
    73    3.232               0            1325;
    74    3.276               0            1122;
    75    3.320               0             937;
    76    3.365               0             774;
    77    3.409               0             633;
    78    3.453               0             515;
    79    3.497               0             416;
    80    3.542               0             336;
    81    3.586               0             269;
    82    3.630               0             217;
    83    3.674               0             174;
    84    3.719               0             140;
    85    3.763               0             114;
    86    3.807               0              93;
    87    3.852               0              77;
    88    3.896               0              64;
    89    3.940               0              54;
    90    3.984               0              46;
    91    4.029               0              40;
    92    4.073               0              36;
    93    4.117               0              32;
    94    4.161               0              29;
    95    4.206               0              27;
    96    4.250               0              25;
    97    4.294               0              24;
    98    4.339               0              23;
    99    4.383               0              22;
   100    4.427               0              21;
   101    4.471               0              20;
   102    4.516               0              20;
   103    4.560               0              20;
   104    4.604               0              19;
   105    4.648               0              18;
   106    4.693               0              18;
   107    4.737               0              18;
   108    4.781               0              18;
   109    4.826               0              18;
   110    4.870               0              17;
   111    4.914               0              16;
   112    4.958               0              16;
   113    5.003               0              16;
   114    5.047               0              16;
   115    5.091               0              16;
   116    5.135               0              16;
   117    5.180               0              16;
   118    5.224               0              16;
   119    5.268               0              16;
   120    5.313               0              16;
   121    5.357               0              15;
   122    5.401               0              15;
   123    5.445               0              15;
   124    5.490               0              15;
   125    5.534               0              15;
   126    5.578               0              15;
   127    5.622               0              15;
   128    5.667               0              15;
   129    5.711               0              14;
   130    5.755               0              14;
   131    5.799               0              14;
   132    5.844               0              14;
   133    5.888               0              14;
   134    5.932               0              14;
   135    5.977               0              14;
   136    6.021           -2000              12;
   137    6.065           -2000             -34;
   138    6.109           -2000            -138;
   139    6.154           -2000            -299;
   140    6.198           -2000            -501;
   141    6.242           -2000            -713;
   142    6.286           -2000            -916;
   143    6.331           -2000           -1102;
   144    6.375           -2000           -1266;
   145    6.419           -2000           -1406;
   146    6.464           -2000           -1526;
   147    6.508           -2000           -1624;
   148    6.552           -2000           -1705;
   149    6.596           -2000           -1771;
   150    6.641           -2000           -1824;
   151    6.685           -2000           -1866;
   152    6.729           -2000           -1900;
   153    6.773           -2000           -1926;
   154    6.818           -2000           -1947;
   155    6.862           -2000           -1963;
   156    6.906           -2000           -1976;
   157    6.951           -2000           -1986;
   158    6.995           -2000           -1993;
   159    7.039           -2000           -1999;
   160    7.083           -2000           -2004;
   161    7.128           -2000           -2007;
   162    7.172           -2000           -2010;
   163    7.216           -2000           -2012;
   164    7.260           -2000           -2014;
   165    7.305           -2000           -2014;
   166    7.349           -2000           -2015;
   167    7.393           -2000           -2016;
   168    7.438           -2000           -2016;
   169    7.482           -2000           -2017;
   170    7.526           -2000           -2018;
   171    7.570           -2000           -2018;
   172    7.615           -2000           -2018;
   173    7.659           -2000           -2018;
   174    7.703           -2000           -2018;
   175    7.747           -2000           -2019;
   176    7.792           -2000           -2019;
   177    7.836           -2000           -2020;
   178    7.880           -2000           -2020;
   179    7.924           -2000           -2020;
   180    7.969           -2000           -2020;
   181    8.013           -2000           -2020;
   182    8.057           -2000           -2020;
   183    8.102           -2000           -2020;
   184    8.146           -2000           -2020;
   185    8.190           -2000           -2020;
   186    8.234           -2000           -2020;
   187    8.279           -2000           -2020;
   188    8.323           -2000           -2020;
   189    8.367           -2000           -2020;
   190    8.411           -2000           -2020;
   191    8.456           -2000           -2020;
   192    8.500           -2000           -2020;
   193    8.544           -2000           -2020;
   194    8.589           -2000           -2020;
   195    8.633           -2000           -2020;
   196    8.677           -2000           -2020;
   197    8.721           -2000           -2020;
   198    8.766           -2000           -2020;
   199    8.810           -2000           -2020;
   200    8.854           -2000           -2020;
   201    8.898           -2000           -2020;
   202    8.943           -2000           -2020;
   203    8.987           -2000           -2020;
   204    9.031               0           -2018;
   205    9.076               0           -1987;
   206    9.120               0           -1927;
   207    9.164               0           -1837;
   208    9.208               0           -1718;
   209    9.253               0           -1570;
   210    9.297               0           -1395;
   211    9.341               0           -1205;
   212    9.385               0           -1021;
   213    9.430               0            -850;
   214    9.474               0            -699;
   215    9.518               0            -569;
   216    9.563               0            -459;
   217    9.607               0            -367;
   218    9.651               0            -292;
   219    9.695               0            -230;
   220    9.740               0            -181;
   221    9.784               0            -141;
   222    9.828               0            -109;
   223    9.872               0             -85;
   224    9.917               0             -65;
   225    9.961               0             -50;
   226   10.005               0             -38;
   227   10.049               0             -28;
   228   10.094               0             -21;
   229   10.138               0             -16;
   230   10.182               0             -11;
   231   10.227               0              -8;
   232   10.271               0              -5;
   233   10.315               0              -4;
   234   10.359               0              -2;
   235   10.404               0              -1;
   236   10.448               0              -0;
   237   10.492               0               1;
   238   10.536               0               2;
   239   10.581               0               2;
   240   10.625               0               2;
   241   10.669               0               2;
   242   10.714               0               4;
   243   10.758               0               4;
   244   10.802               0               4;
   245   10.846               0               4;
   246   10.891               0               4;
   247   10.935               0               4;
   248   10.979               0               4;
   249   11.023               0               5;
   250   11.068               0               6;
   251   11.112               0               6;
   252   11.156               0               6;
   253   11.201               0               6;
   254   11.245               0               6;
   255   11.289               0               6;
   256   11.333               0               6;
   257   11.378               0               6;
   258   11.422               0               6;
   259   11.466               0               7;
   260   11.510               0               7;
   261   11.555               0               7;
   262   11.599               0               7;
   263   11.643               0               7;
   264   11.688               0               7;
   265   11.732               0               7;
   266   11.776               0               7;
   267   11.820               0               7;
   268   11.865               0               7;
   269   11.909               0               7;
   270   11.953               0               7;
   271   11.997               0               7;
   272   12.042            2000              13;
   273   12.086            2000              45;
   274   12.130            2000             102;
